Symbol,Name,Sector,Industry
A,Agilent Technologies Inc,Health Care,Life Sciences Tools & Services
AA,Alcoa Inc,Materials,Metals & Mining
AAL,American Airlines Group Inc,Industrials,Airlines
AAP,"Advance Auto Parts, Inc.",Consumer Discretionary,Specialty Retail
AAPL,Apple Inc.,Information Technology,"Technology Hardware, Storage & Peripherals"
ABBV,AbbVie Inc,Health Care,Pharmaceuticals
ABC,AmerisourceBergen Corp.,Health Care,Health Care Providers & Services
ABT,Abbott Laboratories,Health Care,Health Care Equipment & Supplies
ACN,Accenture Plc,Information Technology,IT Services
ADBE,Adobe Systems Incorporated,Information Technology,Software
ADI,"Analog Devices, Inc.",Information Technology,Semiconductors & Semiconductor Equipment
ADM,Archer Daniels Midland Company,Consumer Staples,Food Products
ADP,Automatic Data Processing,Information Technology,IT Services
ADS,Alliance Data Systems Corporation,Information Technology,IT Services
ADSK,"Autodesk, Inc.",Information Technology,Software
AEE,Ameren Corp,Utilities,Multi-Utilities
AEP,American Electric Power Company Inc,Utilities,Electric Utilities
AES,AES Corp,Utilities,Independent Power and Renewable Electricity Producers
AET,Aetna Inc,Health Care,Health Care Providers & Services
AFL,AFLAC Incorporated,Financials,Insurance
AGN,Allergan plc,Health Care,Pharmaceuticals
AIG,American International Group Inc,Financials,Insurance
AIV,Apartment Investment and Management Co,Financials,Real Estate Investment Trusts (REITs)
AIZ,"Assurant, Inc.",Financials,Insurance
AKAM,"Akamai Technologies, Inc.",Information Technology,Internet Software & Services
ALL,Allstate Corp,Financials,Insurance
ALLE,Allegion PLC,Industrials,Building Products
ALXN,"Alexion Pharmaceuticals, Inc.",Health Care,Biotechnology
AMAT,"Applied Materials, Inc.",Information Technology,Semiconductors & Semiconductor Equipment
AME,"AMETEK, Inc.",Industrials,Electrical Equipment
AMG,"Affiliated Managers Group, Inc.",Financials,Capital Markets
AMGN,"Amgen, Inc.",Health Care,Biotechnology
AMP,"Ameriprise Financial, Inc.",Financials,Capital Markets
AMT,American Tower Corp,Financials,Real Estate Investment Trusts (REITs)
AMZN,"Amazon.com, Inc.",Consumer Discretionary,Internet & Catalog Retail
AN,"AutoNation, Inc.",Consumer Discretionary,Specialty Retail
ANTM,Anthem Inc,Health Care,Health Care Providers & Services
AON,Aon PLC,Financials,Insurance
APA,Apache Corporation,Energy,"Oil, Gas & Consumable Fuels"
APC,Anadarko Petroleum Corporation,Energy,"Oil, Gas & Consumable Fuels"
APD,"Air Products & Chemicals, Inc.",Materials,Chemicals
APH,Amphenol Corporation,Information Technology,"Electronic Equipment, Instruments & Components"
ARG,"Airgas, Inc.",Materials,Chemicals
ATVI,"Activision Blizzard, Inc.",Information Technology,Software
AVB,AvalonBay Communities Inc,Financials,Real Estate Investment Trusts (REITs)
AVGO,Broadcom Ltd,Information Technology,Semiconductors & Semiconductor Equipment
AVY,Avery Dennison Corp,Materials,Containers & Packaging
AWK,American Water Works Company Inc,Utilities,Water Utilities
AXP,American Express Company,Financials,Consumer Finance
AYI,"Acuity Brands, Inc.",Industrials,Electrical Equipment
AZO,"AutoZone, Inc.",Consumer Discretionary,Specialty Retail
BA,Boeing Co,Industrials,Aerospace & Defense
BAC,Bank of America Corp,Financials,Banks
BAX,Baxter International Inc,Health Care,Health Care Equipment & Supplies
BBBY,Bed Bath & Beyond Inc.,Consumer Discretionary,Specialty Retail
BBT,BB&T Corporation,Financials,Banks
BBY,Best Buy Co Inc,Consumer Discretionary,Specialty Retail
BCR,C R Bard Inc,Health Care,Health Care Equipment & Supplies
BDX,Becton Dickinson and Co,Health Care,Health Care Equipment & Supplies
BEN,"Franklin Resources, Inc.",Financials,Capital Markets
BF.B,Brown-Forman Corporation,Consumer Staples,Beverages
BHI,Baker Hughes Incorporated,Energy,Energy Equipment & Services
BIIB,Biogen Inc,Health Care,Biotechnology
BK,Bank of New York Mellon Corp,Financials,Capital Markets
BLK,"BlackRock, Inc.",Financials,Capital Markets
BLL,Ball Corporation,Materials,Containers & Packaging
BMY,Bristol-Myers Squibb Co,Health Care,Pharmaceuticals
BSX,Boston Scientific Corporation,Health Care,Health Care Equipment & Supplies
BWA,BorgWarner Inc.,Consumer Discretionary,Auto Components
BXLT,Baxalta Inc,--,--
BXP,"Boston Properties, Inc.",Financials,Real Estate Investment Trusts (REITs)
C,Citigroup Inc,Financials,Banks
CA,"CA, Inc.",Information Technology,Software
CAG,ConAgra Foods Inc,Consumer Staples,Food Products
CAH,Cardinal Health Inc,Health Care,Health Care Providers & Services
CAT,Caterpillar Inc.,Industrials,Machinery
CB,Chubb Ltd,Financials,Insurance
CBG,CBRE Group Inc,Financials,Real Estate Management & Development
CBS,CBS Corporation,Consumer Discretionary,Media
CCE,Coca-Cola Enterprises Inc,Consumer Staples,Beverages
CCI,Crown Castle International Corp,Financials,Real Estate Investment Trusts (REITs)
CCL,Carnival Corp,Consumer Discretionary,"Hotels, Restaurants & Leisure"
CELG,Celgene Corporation,Health Care,Biotechnology
CERN,Cerner Corporation,Health Care,Health Care Technology
CF,"CF Industries Holdings, Inc.",Materials,Chemicals
CFG,Citizens Financial Group Inc,--,--
CHD,"Church & Dwight Co., Inc.",Consumer Staples,Household Products
CHK,Chesapeake Energy Corporation,Energy,"Oil, Gas & Consumable Fuels"
CHRW,"C.H. Robinson Worldwide, Inc.",Industrials,Air Freight & Logistics
CI,CIGNA Corporation,Health Care,Health Care Providers & Services
CINF,Cincinnati Financial Corporation,Financials,Insurance
CL,Colgate-Palmolive Company,Consumer Staples,Household Products
CLX,Clorox Co,Consumer Staples,Household Products
CMA,Comerica Incorporated,Financials,Banks
CMCSA,Comcast Corporation,Consumer Discretionary,Media
CME,CME Group Inc,Financials,Diversified Financial Services
CMG,"Chipotle Mexican Grill, Inc.",Consumer Discretionary,"Hotels, Restaurants & Leisure"
CMI,Cummins Inc.,Industrials,Machinery
CMS,CMS Energy Corporation,Utilities,Multi-Utilities
CNC,Centene Corp,Health Care,Health Care Providers & Services
CNP,"CenterPoint Energy, Inc.",Utilities,Multi-Utilities
COF,Capital One Financial Corp.,Financials,Consumer Finance
COG,Cabot Oil & Gas Corporation,Energy,"Oil, Gas & Consumable Fuels"
COH,Coach Inc,Consumer Discretionary,"Textiles, Apparel & Luxury Goods"
COL,"Rockwell Collins, Inc.",Industrials,Aerospace & Defense
COP,ConocoPhillips,Energy,"Oil, Gas & Consumable Fuels"
COST,Costco Wholesale Corporation,Consumer Staples,Food & Staples Retailing
CPB,Campbell Soup Company,Consumer Staples,Food Products
CPGX,Columbia Pipeline Group Inc,--,--
CRM,"salesforce.com, inc.",Information Technology,Software
CSCO,"Cisco Systems, Inc.",Information Technology,Communications Equipment
CSRA,CSRA Inc,--,--
CSX,CSX Corporation,Industrials,Road & Rail
CTAS,Cintas Corporation,Industrials,Commercial Services & Supplies
CTL,Centurylink Inc,Telecommunication Services,Diversified Telecommunication Services
CTSH,Cognizant Technology Solutions Corp,Information Technology,IT Services
CTXS,"Citrix Systems, Inc.",Information Technology,Software
CVC,Cablevision Systems Corporation,Consumer Discretionary,Media
CVS,CVS Health Corp,Consumer Staples,Food & Staples Retailing
CVX,Chevron Corporation,Energy,"Oil, Gas & Consumable Fuels"
CXO,Concho Resources Inc,Energy,"Oil, Gas & Consumable Fuels"
D,"Dominion Resources, Inc.",Utilities,Multi-Utilities
DAL,"Delta Air Lines, Inc.",Industrials,Airlines
DD,E I Du Pont De Nemours And Co,Materials,Chemicals
DE,Deere & Company,Industrials,Machinery
DFS,Discover Financial Services,Financials,Consumer Finance
DG,Dollar General Corp.,Consumer Discretionary,Multiline Retail
DGX,Quest Diagnostics Inc,Health Care,Health Care Providers & Services
DHI,"D.R. Horton, Inc.",Consumer Discretionary,Household Durables
DHR,Danaher Corporation,Industrials,Industrial Conglomerates
DIS,Walt Disney Co,Consumer Discretionary,Media
DISCA,Discovery Communications Inc.,Consumer Discretionary,Media
DLPH,Delphi Automotive PLC,Consumer Discretionary,Auto Components
DLTR,"Dollar Tree, Inc.",Consumer Discretionary,Multiline Retail
DNB,Dun & Bradstreet Corp,Industrials,Professional Services
DO,Diamond Offshore Drilling Inc,Energy,Energy Equipment & Services
DOV,Dover Corp,Industrials,Machinery
DOW,Dow Chemical Co,Materials,Chemicals
DPS,Dr Pepper Snapple Group Inc.,Consumer Staples,Beverages
DRI,"Darden Restaurants, Inc.",Consumer Discretionary,"Hotels, Restaurants & Leisure"
DTE,DTE Energy Co,Utilities,Multi-Utilities
DUK,Duke Energy Corp,Utilities,Electric Utilities
DVA,DaVita HealthCare Partners Inc,Health Care,Health Care Providers & Services
DVN,Devon Energy Corp,Energy,"Oil, Gas & Consumable Fuels"
EA,Electronic Arts Inc.,Information Technology,Software
EBAY,eBay Inc,Information Technology,Internet Software & Services
ECL,Ecolab Inc.,Materials,Chemicals
ED,"Consolidated Edison, Inc.",Utilities,Multi-Utilities
EFX,Equifax Inc.,Industrials,Professional Services
EIX,Edison International,Utilities,Electric Utilities
EL,Estee Lauder Companies Inc,Consumer Staples,Personal Products
EMC,EMC Corporation,Information Technology,"Technology Hardware, Storage & Peripherals"
EMN,Eastman Chemical Company,Materials,Chemicals
EMR,Emerson Electric Co.,Industrials,Electrical Equipment
ENDP,Endo International PLC,Health Care,Pharmaceuticals
EOG,EOG Resources Inc,Energy,"Oil, Gas & Consumable Fuels"
EQIX,Equinix Inc,Information Technology,Internet Software & Services
EQR,Equity Residential,Financials,Real Estate Investment Trusts (REITs)
EQT,EQT Corporation,Energy,"Oil, Gas & Consumable Fuels"
ES,Eversource Energy,Utilities,Electric Utilities
ESRX,Express Scripts Holding Co,Health Care,Health Care Providers & Services
ESS,Essex Property Trust Inc,Financials,Real Estate Investment Trusts (REITs)
ETFC,E*TRADE Financial Corp,Financials,Capital Markets
ETN,Eaton Corporation PLC,Industrials,Electrical Equipment
ETR,Entergy Corporation,Utilities,Electric Utilities
EW,Edwards Lifesciences Corp,Health Care,Health Care Equipment & Supplies
EXC,Exelon Corporation,Utilities,Electric Utilities
EXPD,Expeditors International of Washington,Industrials,Air Freight & Logistics
EXPE,Expedia Inc,Consumer Discretionary,Internet & Catalog Retail
EXR,"Extra Space Storage, Inc.",Financials,Real Estate Investment Trusts (REITs)
F,Ford Motor Company,Consumer Discretionary,Automobiles
FAST,Fastenal Company,Industrials,Trading Companies & Distributors
FB,Facebook Inc,Information Technology,Internet Software & Services
FCX,Freeport-McMoRan Inc,Materials,Metals & Mining
FDX,FedEx Corporation,Industrials,Air Freight & Logistics
FE,FirstEnergy Corp.,Utilities,Electric Utilities
FFIV,"F5 Networks, Inc.",Information Technology,Communications Equipment
FIS,Fidelity National Information Services,Information Technology,IT Services
FISV,Fiserv Inc,Information Technology,IT Services
FITB,Fifth Third Bancorp,Financials,Banks
FL,"Foot Locker, Inc.",Consumer Discretionary,Specialty Retail
FLIR,"FLIR Systems, Inc.",Information Technology,"Electronic Equipment, Instruments & Components"
FLR,Fluor Corporation (NEW),Industrials,Construction & Engineering
FLS,Flowserve Corp,Industrials,Machinery
FMC,FMC Corp,Materials,Chemicals
FOXA,Twenty-First Century Fox Inc,Consumer Discretionary,Media
FRT,Federal Realty Investment Trust,Financials,Real Estate Investment Trusts (REITs)
FSLR,"First Solar, Inc.",Information Technology,Semiconductors & Semiconductor Equipment
FTI,"FMC Technologies, Inc.",Energy,Energy Equipment & Services
FTR,Frontier Communications Corp,Telecommunication Services,Diversified Telecommunication Services
GAS,AGL Resources Inc.,Utilities,Gas Utilities
GD,General Dynamics Corporation,Industrials,Aerospace & Defense
GE,General Electric Company,Industrials,Industrial Conglomerates
GGP,General Growth Properties Inc,Financials,Real Estate Investment Trusts (REITs)
GILD,"Gilead Sciences, Inc.",Health Care,Biotechnology
GIS,"General Mills, Inc.",Consumer Staples,Food Products
GLW,Corning Incorporated,Information Technology,"Electronic Equipment, Instruments & Components"
GM,General Motors Company,Consumer Discretionary,Automobiles
GOOGL,Alphabet Inc,Information Technology,Internet Software & Services
GPC,Genuine Parts Company,Consumer Discretionary,Distributors
GPN,Global Payments Inc,Information Technology,IT Services
GPS,Gap Inc,Consumer Discretionary,Specialty Retail
GRMN,Garmin Ltd.,Consumer Discretionary,Household Durables
GS,Goldman Sachs Group Inc,Financials,Capital Markets
GT,Goodyear Tire & Rubber Co,Consumer Discretionary,Auto Components
GWW,W W Grainger Inc,Industrials,Trading Companies & Distributors
HAL,Halliburton Company,Energy,Energy Equipment & Services
HAR,Harman International Industries Inc./DE/,Consumer Discretionary,Household Durables
HAS,"Hasbro, Inc.",Consumer Discretionary,Leisure Products
HBAN,Huntington Bancshares Incorporated,Financials,Banks
HBI,Hanesbrands Inc.,Consumer Discretionary,"Textiles, Apparel & Luxury Goods"
HCA,HCA Holdings Inc,Health Care,Health Care Providers & Services
HCN,Welltower Inc,Financials,Real Estate Investment Trusts (REITs)
HCP,"HCP, Inc.",Financials,Real Estate Investment Trusts (REITs)
HD,Home Depot Inc,Consumer Discretionary,Specialty Retail
HES,Hess Corp.,Energy,"Oil, Gas & Consumable Fuels"
HIG,Hartford Financial Services Group Inc,Financials,Insurance
HOG,Harley-Davidson Inc,Consumer Discretionary,Automobiles
HOLX,"Hologic, Inc.",Health Care,Health Care Equipment & Supplies
HON,Honeywell International Inc.,Industrials,Aerospace & Defense
HOT,Starwood Hotels & Resorts Worldwide Inc,Consumer Discretionary,"Hotels, Restaurants & Leisure"
HP,"Helmerich & Payne, Inc.",Energy,Energy Equipment & Services
HPE,Hewlett Packard Enterprise Co,--,--
HPQ,HP Inc,Information Technology,"Technology Hardware, Storage & Peripherals"
HRB,H & R Block Inc,Consumer Discretionary,Diversified Consumer Services
HRL,Hormel Foods Corp,Consumer Staples,Food Products
HRS,Harris Corporation,Information Technology,Communications Equipment
HSIC,"Henry Schein, Inc.",Health Care,Health Care Providers & Services
HST,Host Hotels and Resorts Inc,Financials,Real Estate Investment Trusts (REITs)
HSY,Hershey Co,Consumer Staples,Food Products
HUM,Humana Inc,Health Care,Health Care Providers & Services
IBM,International Business Machines Corp.,Information Technology,IT Services
ICE,Intercontinental Exchange Inc,Financials,Diversified Financial Services
IFF,International Flavors & Fragrances Inc,Materials,Chemicals
ILMN,"Illumina, Inc.",Health Care,Life Sciences Tools & Services
INTC,Intel Corporation,Information Technology,Semiconductors & Semiconductor Equipment
INTU,Intuit Inc.,Information Technology,Software
IP,International Paper Co,Materials,Paper & Forest Products
IPG,Interpublic Group of Companies Inc,Consumer Discretionary,Media
IR,Ingersoll-Rand PLC,Industrials,Machinery
IRM,Iron Mountain Inc,Industrials,Commercial Services & Supplies
ISRG,"Intuitive Surgical, Inc.",Health Care,Health Care Equipment & Supplies
ITW,Illinois Tool Works Inc.,Industrials,Machinery
IVZ,Invesco Ltd.,Financials,Capital Markets
JBHT,J B Hunt Transport Services Inc,Industrials,Road & Rail
JCI,Johnson Controls Inc,Consumer Discretionary,Auto Components
JEC,Jacobs Engineering Group Inc,Industrials,Construction & Engineering
JNJ,Johnson & Johnson,Health Care,Pharmaceuticals
